year,date,id,sex,lon,lat
2015,2015-08-29T00:00:00Z,BI406516 Y15-027 +,Hane,636125,7007846
2015,2015-08-29T00:00:00Z,BI406648 Y15-159,Hane,624741,7072894
2015,2015-08-29T00:00:00Z,BI406980 Z15-250,Hane,488704,6955512
2015,2015-08-29T00:00:00Z,BI407127 Z15-397,Hane,529205,6995090
2015,2015-08-30T00:00:00Z,BI407056 Z15-326,Hane,448878,6902939
2015,2015-08-22T00:00:00Z,BI406669 Y15-180,Hane,681398,7058703
2015,2015-08-30T00:00:00Z,BI406409 NT134,Hane,488755,7028043
2015,2015-08-29T00:00:00Z,BI080768 AC2014-254,Hona,597332,7089662
2015,2015-08-22T00:00:00Z,BI406563 Y15-074,Hane,619529,7031301
2015,2015-08-30T00:00:00Z,BI041435 ZM-250 +,Hane,441166,6908274
2015,2015-08-29T00:00:00Z,BI407030 Z15-300,Hane,539941,7014246
2015,2015-08-30T00:00:00Z,BI407042 Z15-312,Hona,517394,7022893
2015,2015-08-28T00:00:00Z,BI406584 Y15-095,Hane,580521,7064321
2015,2015-08-28T00:00:00Z,BI406942 Z15-212,Hane,530363,7073900
2015,2015-08-29T00:00:00Z,BI041529 ZM-60,Hane,518538,7117069
2015,2015-08-27T00:00:00Z,BI041294 ZF-87,Hona,553060,7096548
2015,2015-08-29T00:00:00Z,BI041305 ZF-97 Z15-185,Hona,523188,7103651
2015,2015-08-30T00:00:00Z,BI407042 Z15-312,Hona,519613,7020977
2015,2015-08-28T00:00:00Z,BI041135 ZF-254 +,Hona,437517,6892393
2015,2015-08-30T00:00:00Z,BI407059 Z15-329,Hona,487893,6984327
2015,2015-08-28T00:00:00Z,BI406919 Z15-189,Hona,424979,6885569
2015,2015-08-28T00:00:00Z,BI406553 Y15-064,Hona,656068,7052727
2015,2015-08-29T00:00:00Z,BI407291 Z15-561,Hona,413755,6882380
2015,2015-08-28T00:00:00Z,BI080300 X12-106,Hona,483973,6873325
2015,2015-08-30T00:00:00Z,BI407340 Z15-610,Hane,439276,7006198
2015,2015-08-31T00:00:00Z,BI407347 Z15-617 +,Hane,447491,6992858
2015,2015-08-30T00:00:00Z,BI041489 ZM-310,Hane,567145,6976298
2015,2015-08-30T00:00:00Z,BI407115 Z15-385 +,Hane,487976,6984264
2015,2015-08-29T00:00:00Z,BI406408 NT133 +,Hane,416432,7033267
2015,2015-08-28T00:00:00Z,BI407267 Z15-537 +,Hane,491561,6948993
2015,2015-08-30T00:00:00Z,BI405020 NT116,Hona,458731,7158976
2015,2015-08-21T00:00:00Z,BI407170 Z15-440,Hane,524837,7027567
2015,2015-08-21T00:00:00Z,BI407170 Z15-440,Hane,524888,7030608
2015,2015-08-21T00:00:00Z,BI407225 Z15-495 +,Hona,518923,7039885
2015,2015-08-23T00:00:00Z,BI406980 Z15-250,Hane,490148,6954468
2015,2015-08-31T00:00:00Z,BI407106 Z15-376,Hane,492571,6899076
2015,2015-08-31T00:00:00Z,BI406698 Y15-209 +,Hane,597122,7014969
2015,2015-08-31T00:00:00Z,BI406999 Z15-269,Hona,493374,7068535
2015,2015-09-01T00:00:00Z,BI407195 Z15-465 +,Hona,531210,7146595
2015,2015-08-30T00:00:00Z,BI407188 Z15-458 +,Hona,539905,7032181
2015,2015-08-29T00:00:00Z,BI407169 Z15-439 +,Hane,542546,7025719
2015,2015-08-28T00:00:00Z,BI406974 Z15-244,Hona,428470,6886929
2015,2015-08-31T00:00:00Z,BI407258 Z15-528,Hona,484644,6913448
2015,2015-08-31T00:00:00Z,BI041047 ZF-157,Hona,519849,7055510
2015,2015-08-31T00:00:00Z,BI040999 ZF-107,Hona,522892,7110047
2015,2015-08-30T00:00:00Z,BI406678 Y15-189 +,Hona,620629,7008107
2015,2015-09-01T00:00:00Z,BI041076 ZF-188 Z15-555,Hona,560531,6978734
2015,2015-08-31T00:00:00Z,BI407326 Z15-596 +,Hane,549630,7011015
2015,2015-09-01T00:00:00Z,BI407027 Z15-297 +,Hona,505837,7110573
2015,2015-08-22T00:00:00Z,BI406805 Z15-075,Hona,500630,7054618
2015,2015-09-01T00:00:00Z,BI406958 Z15-228,Hona,550450,7104699
2015,2015-09-01T00:00:00Z,BI406644 Y15-155,Hane,670229,7055901
2015,2015-08-30T00:00:00Z,BI406657 Y15-168,Hane,643579,7027025
2015,2015-08-31T00:00:00Z,BI406942 Z15-212,Hane,532700,7069072
2015,2015-08-29T00:00:00Z,BI407309 Z15-579,Hane,412991,7010736
2015,2015-08-30T00:00:00Z,BI407244 Z15-514 +,Hona,428677,6853974
2015,2015-08-30T00:00:00Z,BI407133 Z15-403 +,Hane,473450,6935647
2015,2015-08-30T00:00:00Z,BI407059 Z15-329,Hona,487869,6984355
2015,2015-08-30T00:00:00Z,BI407225 Z15-495 +,Hona,522113,7031498
2015,2015-08-21T00:00:00Z,BI407317 Z15-587 +,Hane,448030,7013175
2015,2015-08-29T00:00:00Z,BI407351 Z15-621,Hona,463653,7053159
2015,2015-08-31T00:00:00Z,BI407084 Z15-354,Hane,526270,7067243
2015,2015-08-28T00:00:00Z,BI041002 ZF-11,Hona,458023,7105349
2015,2015-08-28T00:00:00Z,BI407337 Z15-607,Hona,430112,6958962
2015,2015-08-30T00:00:00Z,BI407118 Z15-388,Hane,435358,7043887
2015,2015-09-01T00:00:00Z,BI407312 Z15-582,Hona,455928,6984766
2015,2015-08-29T00:00:00Z,BI041294 ZF-87,Hona,561900,7099097
2015,2015-08-22T00:00:00Z,BI080654 AC2014-140,Hane,489898,7062571
2015,2015-08-22T00:00:00Z,BI407085 Z15-355 +,Hane,580393,6972359
2015,2015-08-21T00:00:00Z,BI406592 Y15-103,Hona,625616,7045698
2015,2015-08-21T00:00:00Z,BI041529 ZM-60,Hane,530936,7108513
2015,2015-08-21T00:00:00Z,BI407225 Z15-495 +,Hona,522114,7032017
2015,2015-09-01T00:00:00Z,BI406954 Z15-224,Hona,561096,7091390
2015,2015-09-01T00:00:00Z,BI407353 Z15-623,Hona,561395,7086495
2015,2015-09-01T00:00:00Z,BI407231 Z15-501,Hane,478139,6934566
2015,2015-09-01T00:00:00Z,BI406849 Z15-119,Hona,530409,7106559
2015,2015-09-02T00:00:00Z,BI406679 Y15-190,Hona,671620,7064097
2015,2015-08-31T00:00:00Z,BI406508 Y15-019,Hane,654268,7058712
2015,2015-09-01T00:00:00Z,BI406877 Z15-147 +,Hona,407271,6924996
2015,2015-09-01T00:00:00Z,BI406556 Y15-067,Hane,647150,7035774
2015,2015-09-01T00:00:00Z,BI407030 Z15-300,Hane,543578,7013270
2015,2015-09-01T00:00:00Z,BI041124 ZF-244,Hona,487883,6903419
2015,2015-09-01T00:00:00Z,BI406722 Y15-233,Hane,657290,7076546
2015,2015-09-01T00:00:00Z,BI406652 Y15-163,Hona,633164,7072229
2015,2015-09-01T00:00:00Z,BI406559 Y15-070,Hane,543703,6976542
2015,2015-08-31T00:00:00Z,BI407341 Z15-611,Hona,455928,7049553
2015,2015-08-31T00:00:00Z,BI041165 ZF-285,Hona,405077,6923235
2015,2015-08-29T00:00:00Z,BI407362 Z15-632,Hane,495940,6952369
2015,2015-08-31T00:00:00Z,BI406658 Y15-169,Hona,674237,7054398
2015,2015-09-02T00:00:00Z,BI407049 Z15-319,Hona,532952,7072100
2015,2015-08-23T00:00:00Z,BI406757 Z15-027,Hane,504333,6880713
2015,2015-09-02T00:00:00Z,BI407312 Z15-582,Hona,455794,6988365
2015,2015-09-01T00:00:00Z,BI041094 ZF-21,Hona,442141,6964680
